user,in_degree,out_degree,betweenness,pagerank
@mariee__123,0.002520478890989288,0.0,0.0,0.0013599398237717467
@thxrosx9620,0.000630119722747322,0.0,0.0,0.0009116304546314834
@cricketo9869,0.0002520478890989288,0.0,0.0,0.0008888096843163834
@Kangggggggggggj,0.0015122873345935726,0.0,0.0,0.0008668619483950871
@charlottestreamstay4686,0.0015122873345935726,0.0001260239445494644,1.906084364247004e-07,0.0008668619483950871
@bangtanokay,0.000630119722747322,0.0,0.0,0.0008544228941007526
@zusrikushikuto4036,0.0015122873345935726,0.0,0.0,0.000833990090036643
@theemperor5004,0.0010081915563957152,0.0,0.0,0.0008084341436519645
@LupitaChoi17,0.0013862633900441083,0.0,0.0,0.0007572890872002738
@prettygirl3995,0.0013862633900441083,0.0,0.0,0.000751810444140533
@polar595,0.001260239445494644,0.0,0.0,0.000735374514961311
@changbinsgrr7119,0.001260239445494644,0.0,0.0,0.0007025026566028669
@lalisa-976,0.001260239445494644,0.0001260239445494644,1.5884036368725032e-07,0.0007025026566028669
@karamioo8110,0.001260239445494644,0.0,0.0,0.0006915453704833856
@diksha9045,0.0011342155009451795,0.0,0.0,0.000669630798244423
@usbshrimp202,0.0005040957781978576,0.0,0.0,0.0006522969619096471
@FizzPopperz,0.00037807183364839316,0.0,0.0,0.000614860949488183
@ilr6086,0.000630119722747322,0.0,0.0,0.0006048098614448391
@meiq1245,0.000630119722747322,0.0001260239445494644,1.4295632731852528e-07,0.0006048098614448391
@goldensugakookie2987,0.0010081915563957152,0.0,0.0,0.0006038870815275349
@alfranciskitonelia3943,0.0010081915563957152,0.0,0.0,0.0006038870815275349
@mishuarmy9144,0.0002520478890989288,0.0,0.0,0.000601168487299123
@stan3127,0.0011342155009451795,0.0,0.0,0.000597312709855846
@blocdebunker3491,0.0005040957781978576,0.0,0.0,0.000595681553318799
@cikgufaridah423,0.000630119722747322,0.0,0.0,0.0005765021571494149
@sugaiseverything7525,0.0010081915563957152,0.0001260239445494644,1.2707229094980026e-07,0.0005710152231690908
@lailahp9462,0.0005040957781978576,0.0,0.0,0.000567373849023375
@chutttttttttttt,0.0005040957781978576,0.0,0.0,0.0005628096949603549
@melonphi7111,0.0002520478890989288,0.0,0.0,0.0005579269123645334
@PrimaditaR,0.0010081915563957152,0.0,0.0,0.0005512921081540245
@nt_navy,0.0008821676118462507,0.0,0.0,0.0005431831849749039
@mientrastantoenbolivia8700,0.0008821676118462507,0.0,0.0,0.0005381433648106468
@ilubyoO,0.0008821676118462507,0.0,0.0,0.0005381433648106468
@lindalandaverde6378,0.0008821676118462507,0.0,0.0,0.0005381433648106468
@nasrulzaffrey6437,0.0008821676118462507,0.0,0.0,0.0005381433648106468
@rinaMomon,0.000630119722747322,0.0,0.0,0.0005271943696117489
@theresajane8437,0.0010081915563957152,0.0,0.0,0.0005271860786911655
@maotka636,0.000630119722747322,0.0,0.0,0.0005198867485585668
@edgarpatino6735,0.0005040957781978576,0.0,0.0,0.0005107584404325269
@ΚΩΝΣΤΑΝΤΙΝΑΛΟΥΚΑ-τ1κ,0.0008821676118462507,0.0,0.0,0.0005052715064522027
@anawithana8160,0.0008821676118462507,0.0,0.0,0.0005052715064522027
@angeldelight55,0.0008821676118462507,0.0,0.0,0.0005052715064522027
@kimaytadz123,0.0008821676118462507,0.0,0.0,0.0005052715064522027
@shairykarol5942,0.0002520478890989288,0.0001260239445494644,1.1118825458107523e-07,0.0004925018241804469
@revotv6987,0.000630119722747322,0.0005040957781978576,4.447530183243009e-07,0.0004870148902001228
@agk2433,0.0005040957781978576,0.0,0.0,0.00048245073613710276
@infinitybts1830,0.0008821676118462507,0.0,0.0,0.0004789740197654475
@TUDOLEGENDADO,0.0007561436672967863,0.0,0.0,0.0004764200833110963
